keyword,tags
gold,"gold, precious metals"
silver,"silver, precious metals"
platinum,"platinum, precious metals"
palladium,"palladium, precious metals"
precious metals,"precious metals, gold, silver"
bullion,"bullion, precious metals"
coins,"coins, precious metals"
bars,"bars, bullion, precious metals"

dollar,"dollar, currency"
inflation,"inflation, economy"
deflation,"deflation, economy"
hyperinflation,"hyperinflation, inflation, economy"
currency,"currency, dollar"
devaluation,"devaluation, currency, dollar"
purchasing power,"purchasing power, inflation"
money printing,"money printing, inflation, federal reserve"

fed,"federal reserve, interest rates"
federal reserve,"federal reserve, interest rates"
interest rates,"interest rates, federal reserve"
rate cut,"rate cut, federal reserve, interest rates"
rate hike,"rate hike, federal reserve, interest rates"
monetary policy,"monetary policy, federal reserve"
powell,"jerome powell, federal reserve"
jerome powell,"jerome powell, federal reserve"
fomc,"fomc, federal reserve"

economy,"economy"
recession,"recession, economy"
depression,"depression, recession, economy"
gdp,"gdp, economy"
economic growth,"economic growth, economy, gdp"
economic downturn,"economic downturn, recession, economy"
economic crisis,"economic crisis, recession, economy"

stocks,"stock market, stocks"
stock market,"stock market, stocks"
equities,"equities, stock market"
dow jones,"dow jones, stock market"
dow,"dow jones, stock market"
s&p 500,"s&p 500, stock market"
s&p,"s&p 500, stock market"
nasdaq,"nasdaq, stock market"
market crash,"market crash, stock market"
bear market,"bear market, stock market"
bull market,"bull market, stock market"
market volatility,"market volatility, stock market"
correction,"correction, stock market"

bonds,"bonds, treasury"
treasury,"treasury, bonds"
treasuries,"treasury, bonds"
debt,"debt, bonds, treasury"
national debt,"national debt, debt, economy"
deficit,"deficit, debt, economy"
debt ceiling,"debt ceiling, debt, economy"

bank,"banking, banks"
banking,"banking, banks"
bank failure,"bank failure, banking crisis"
banking crisis,"banking crisis, banks"
fdic,"fdic, banks"
svb,"bank failure, banking crisis"
silicon valley bank,"bank failure, banking crisis"
credit suisse,"bank failure, banking crisis"

retirement,"retirement, ira, 401k"
ira,"ira, retirement"
401k,"401k, retirement"
roth ira,"roth ira, ira, retirement"
traditional ira,"traditional ira, ira, retirement"
self-directed ira,"self-directed ira, ira, retirement"
pension,"pension, retirement"
retirement savings,"retirement savings, retirement, ira"
retirement account,"retirement account, retirement, ira"

diversification,"diversification, investment strategy"
portfolio,"portfolio, investment strategy"
asset allocation,"asset allocation, portfolio, diversification"
hedge,"hedge, investment strategy"
safe haven,"safe haven, precious metals, investment strategy"
store of value,"store of value, precious metals, investment strategy"

geopolitical,"geopolitical, global economy"
war,"war, geopolitical"
conflict,"conflict, geopolitical"
russia,"russia, geopolitical"
ukraine,"ukraine, russia, geopolitical, war"
china,"china, geopolitical"
taiwan,"taiwan, china, geopolitical"
middle east,"middle east, geopolitical"

trump,"donald trump, politics"
president trump,"donald trump, politics"
donald trump,"donald trump, politics"
biden,"joe biden, politics"
president biden,"joe biden, politics"
joe biden,"joe biden, politics"
harris,"kamala harris, politics"
kamala harris,"kamala harris, politics"
election,"election, politics"
white house,"politics"

brics,"brics, global economy, dollar"
de-dollarization,"de-dollarization, dollar, brics"
petrodollar,"petrodollar, dollar"
reserve currency,"reserve currency, dollar"

supply chain,"supply chain, economy"
shortage,"shortage, supply chain, economy"

expert,"expert opinion"
analyst,"analyst, expert opinion"
economist,"economist, expert opinion"

historical,"historical data, history"
history,"history, historical data"

volatility,"volatility, market volatility"
risk,"risk, investment strategy"
uncertainty,"uncertainty, risk, economy"

tax,"tax, retirement"
tax benefit,"tax benefit, tax, retirement"
tax-deferred,"tax-deferred, tax, retirement"
tax-free,"tax-free, tax, retirement"
