Quote Text,Quote Author,Quote Source URL,Quote Date
"Gold is certainly more of a safe haven than the US dollar.",Ray Dalio,https://finance.yahoo.com/news/dalio-echoes-griffin-seeing-gold-165635701.html,October 2025
"Those [investments] that will most likely do best will be those that do well when the value of money is being depreciated and domestic and international conflicts are significant, such as gold.",Ray Dalio,https://americanalternativeassets.com/blog/ray-dalio-on-gold/,
"If you don't own gold, you know neither history nor economics.",Ray Dalio,https://americanalternativeassets.com/blog/ray-dalio-on-gold/,2012
"I think all roads lead to inflation. I'm long gold.",Paul Tudor Jones,https://www.cnbc.com/2024/10/22/tudor-jones-is-long-gold-and-bitcoin-as-hedge-fund-titan-believes-all-roads-lead-to-inflation.html,October 2024
"We are going to be broke really quick unless we get serious about dealing with our spending issues. The only playbook to get out of this is to inflate your way out [of debt].",Paul Tudor Jones,https://www.cnbc.com/2024/10/22/tudor-jones-is-long-gold-and-bitcoin-as-hedge-fund-titan-believes-all-roads-lead-to-inflation.html,October 2024
"Historically, gold has always been a safe haven against inflation and a safe haven in times of political instability.",John Paulson,https://uk.marketscreener.com/quote/index/S-P-GSCI-SILVER-INDEX-46869173/news/Billionaire-investor-John-Paulson-sees-gold-near-5-000-by-2028-49756890/,April 2025
"When the war started, (Russia) kept their physical gold, that was safe, but all their cash—the paper reserves—were confiscated. So that caused other central banks to wake up and say... 'What happens if there's a conflict with the U.S.?'",John Paulson,https://uk.marketscreener.com/quote/index/S-P-GSCI-SILVER-INDEX-46869173/news/Billionaire-investor-John-Paulson-sees-gold-near-5-000-by-2028-49756890/,
"If you are looking for a hedge for potential inflation for the future and have a longer term view, then gold is still a good bet.",John Paulson,https://uk.marketscreener.com/quote/index/S-P-GSCI-SILVER-INDEX-46869173/news/Billionaire-investor-John-Paulson-sees-gold-near-5-000-by-2028-49756890/,
"If I thought we were going to have a bear market, stagflation type of thing, I would want to own gold.",Stanley Druckenmiller,https://www.cmgwealth.com/ri/on-my-radar-stanley-druckenmiller/,2022
"Everybody should own some gold. Everybody should own some silver. Everybody should have some because when there are problems, when there is turmoil or disaster, gold and silver always will work to save you in the end.",Jim Rogers,https://www.cmgwealth.com/ri/on-my-radar-stanley-druckenmiller/,October 2025
"In the absence of the gold standard, there is no way to protect savings from confiscation through inflation. There is no safe store of value.",Alan Greenspan,https://www.azquotes.com/author/5880-Alan_Greenspan?p=2,1966
"Deficit spending is simply a scheme for the hidden confiscation of wealth. Gold stands in the way of this insidious process. It stands as a protector of property rights.",Alan Greenspan,https://www.azquotes.com/author/5880-Alan_Greenspan?p=2,1966
"Measurably higher.",Alan Greenspan,https://www.azquotes.com/author/5880-Alan_Greenspan?p=2,2014
"Gold still represents the ultimate form of payment in the world. Fiat money in extremis is accepted by nobody. Gold is always accepted.",Alan Greenspan,https://www.linkedin.com/pulse/8-eloquent-quotes-comments-gold-alan-greenspan-casa-minerals-rowsome,2014
"Gold is the canary in the coal mine. It signals problems with respect to currency markets. Central banks should pay attention to it.",Alan Greenspan,https://www.azquotes.com/author/5880-Alan_Greenspan?p=2,1998
"The reason people hold gold is as a protection against what we call tail risk, really really bad outcomes. And to the extent that the last few years have made people more worried about the potential of a major crisis, then they have gold as a protection.",Ben Bernanke,https://www.azquotes.com/author/5880-Alan_Greenspan?p=2,July 2011
"I think the potential [for gold] is much higher because we're just going to print so much money. We're going to have so much inflation that the dollar is going to lose so much value that you're really going to need a lot of dollars to buy gold.",Peter Schiff,https://www.birchgold.com/interview/peter-schiff-interview-dollar-gold/,October 2024
"Gold is going to shine a lot brighter than it did in the last crisis [2008]. And so the reasons to own it now are even more numerous than they were then.",Peter Schiff,https://www.birchgold.com/interview/peter-schiff-interview-dollar-gold/,
"Gold has intrinsic value. The problem with the dollar is it has no intrinsic value.",Peter Schiff,https://www.azquotes.com/author/22629-Peter_Schiff/tag/gold,
"When you own gold you're fighting every central bank in the world. That's because gold is a currency that competes with government currencies and has a powerful influence on interest rates and the price of government bonds... Gold is the ticket out of the central banking system, the escape from coercive central bank and government power.",Jim Rickards,https://www.goodreads.com/author/quotes/4894295.James_Rickards,2014
"Central banks and finance ministries do not hold copper, aluminum, or steel supplies, yet they hold gold. The only explanation for central bank gold hoards is the obvious one—gold is money.",Jim Rickards,https://www.goodreads.com/author/quotes/4894295.James_Rickards,
"Given all the money printing that is going on globally—and not just in the US—and given that the total credit as a percent of the advanced economies is now 30% higher than in 2007 before the crisis hit, I think that gold is a good insurance.",Marc Faber,https://www.azquotes.com/author/4618-Marc_Faber,2021
"I'm buying gold because I'm fearful that we will still have a systemic crisis, that we will have wars and so forth... I'm fearful and I own gold, and you are in danger because you don't own any gold.",Marc Faber,https://www.inspiringquotes.us/author/5890-marc-faber,2016
"Investors need to find assets that will hedge them against inflation, political and geopolitical risks, and environmental damage: these include... gold and other precious metals.",Nouriel Roubini,https://www.birchgold.com/blog/news/buy-gold-roubini/,2022
"If central banks are going to blink and wimp out [on fighting inflation], gold is going to rise in value.",Nouriel Roubini,https://www.schiffgold.com/videos/economist-nouriel-roubini-the-fed-is-going-to-wimp-out-in-the-inflation-fight,2022
"Think of gold as portfolio insurance, not as a way to get rich.",Frank Holmes,https://www.linkedin.com/in/frank-holmes-0a941b16/,
"Gold occupies a place in a portfolio as insurance. And there's no prudent speculator that wants his insurance policy to pay off. Think about it. Life insurance means somebody died. And that's what gold's all about.",Rick Rule,https://www.schiffgold.com/videos/rick-rule-gold-is-insurance-and-you-want-to-have-insurance,2020
"Gold, for me, is insurance and savings. Gold stocks are investments. I don't own gold to make money. I own gold to maintain liquidity and maintain my purchasing power.",Rick Rule,https://wealthion.com/rick-rule-silver-will-outshine-gold-in-a-1970s-like-precious-metals-bull-market/,2025
"At this particular time, you should have a significant amount of money—not just 5% percent—but a significant amount of money in gold because it's the only financial asset that's not simultaneously somebody else's liability.",Doug Casey,https://www.birchgold.com/interview/doug-casey-protect-savings-with-gold/,
"Throughout the ages, many things have been used as currency: livestock, grains, spices, shells, beads, and now paper. But only two things have ever been money: gold and silver. When paper money becomes too abundant, and thus loses its value, man always turns back to precious metals. During these times there is always an enormous wealth transfer, and it is within your power to transfer that wealth away from you or toward you.",Mike Maloney,https://www.amazon.com/Guide-Investing-Gold-Silver-Financial/dp/1937832740,
"Here's the dirty little secret: Fiat currency is designed to lose value. Its very purpose is to confiscate your wealth and transfer it to the government.",Mike Maloney,https://www.goodreads.com/work/quotes/45670399-guide-to-investing-in-gold-silver-protect-your-financial-future,
"Gold, always a prudent asset to own, has become the single most important wealth preservation tool for banks and individuals alike.",Jim Rickards,https://www.goodreads.com/book/show/25894053-the-new-case-for-gold,2016
